registration,icao24,departure_date_only_utc,departure_date_utc,arrival_date_utc,flight_duration_min,flight_duration_str,airport_departure,airport_arrival,airport_dep_icao,airport_arr_icao,latitude_dep,longitude_dep,latitude_arr,longitude_arr,co2_emission_tonnes,path_csv
F-ZBFS,3b7b6e,2022-07-20,2022-07-20 16:56:13.250000+00:00,2022-07-20 16:58:20.650000+00:00,2.12,2min,Bordeaux-Merignac Airport,Bordeaux-Merignac Airport,LFBD,LFBD,44.769575,-0.78601,44.824999,-0.698557,0.0,output/F-ZBFS/2022-07-20/leg_3/F-ZBFS_baro_2022-07-20_leg_3.csv
F-ZBFS,3b7b6e,2022-07-20,2022-07-20 13:56:38.680000+00:00,2022-07-20 14:03:27.640000+00:00,6.8,7min,Bordeaux-Merignac Airport,Bordeaux-Merignac Airport,LFBD,LFBD,44.836266,-0.746978,44.658025,-1.070286,0.0,output/F-ZBFS/2022-07-20/leg_2/F-ZBFS_baro_2022-07-20_leg_2.csv
F-ZBFS,3b7b6e,2022-07-20,2022-07-20 09:08:39.070000+00:00,2022-07-20 09:10:32.870000+00:00,1.88,2min,Bordeaux-Merignac Airport,Bordeaux-Merignac Airport,LFBD,LFBD,44.75837,-0.784868,44.821901,-0.693136,0.0,output/F-ZBFS/2022-07-20/leg_1/F-ZBFS_baro_2022-07-20_leg_1.csv
F-ZBFS,3b7b6e,2022-07-19,2022-07-19 16:08:13.100000+00:00,2022-07-19 16:55:32.900000+00:00,47.32,47min,Bordeaux-Merignac Airport,Bordeaux-Merignac Airport,LFBD,LFBD,44.655927,-0.477813,44.823237,-0.695458,0.0,output/F-ZBFS/2022-07-19/leg_3/F-ZBFS_baro_2022-07-19_leg_3.csv
F-ZBFS,3b7b6e,2022-07-19,2022-07-19 14:00:53.200000+00:00,2022-07-19 14:04:23.200000+00:00,3.5,4min,Bordeaux-Merignac Airport,Bordeaux-Merignac Airport,LFBD,LFBD,44.808395,-0.718908,44.73642,-0.485804,0.0,output/F-ZBFS/2022-07-19/leg_2/F-ZBFS_baro_2022-07-19_leg_2.csv
F-ZBFS,3b7b6e,2022-07-19,2022-07-19 10:40:03+00:00,2022-07-19 10:43:39.400000+00:00,3.6,4min,Bordeaux-Merignac Airport,Bordeaux-Merignac Airport,LFBD,LFBD,44.669991,-0.664096,44.825133,-0.698733,0.0,output/F-ZBFS/2022-07-19/leg_1/F-ZBFS_baro_2022-07-19_leg_1.csv
F-ZBFS,3b7b6e,2022-07-16,2022-07-16 15:43:55+00:00,2022-07-16 16:26:06+00:00,42.18,42min,Bordeaux-Merignac Airport,Albi-Le Sequestre Airport,LFBD,LFCI,44.509809,-0.942381,44.101751,2.095037,0.0,output/F-ZBFS/2022-07-16/leg_4/F-ZBFS_baro_2022-07-16_leg_4.csv
F-ZBFS,3b7b6e,2022-07-16,2022-07-16 12:32:30.900000+00:00,2022-07-16 12:41:29.900000+00:00,8.98,9min,Bordeaux-Merignac Airport,Bordeaux-Merignac Airport,LFBD,LFBD,44.843513,-0.689603,44.563711,-1.090028,0.0,output/F-ZBFS/2022-07-16/leg_3/F-ZBFS_baro_2022-07-16_leg_3.csv
F-ZBFS,3b7b6e,2022-07-16,2022-07-16 10:33:58.400000+00:00,2022-07-16 10:38:55.700000+00:00,4.95,5min,Bordeaux-Merignac Airport,Bordeaux-Merignac Airport,LFBD,LFBD,44.630341,-0.548139,44.810345,-0.741072,0.0,output/F-ZBFS/2022-07-16/leg_2/F-ZBFS_baro_2022-07-16_leg_2.csv
F-ZBFS,3b7b6e,2022-07-16,2022-07-16 07:58:48.800000+00:00,2022-07-16 08:47:06.400000+00:00,48.28,48min,Castres-Mazamet Airport,Bordeaux-Merignac Airport,LFCK,LFBD,43.891628,2.545203,44.550548,-0.613325,0.0,output/F-ZBFS/2022-07-16/leg_1/F-ZBFS_baro_2022-07-16_leg_1.csv
F-ZBFS,3b7b6e,2022-07-15,2022-07-15 14:59:11.800000+00:00,2022-07-15 15:37:36.300000+00:00,38.4,38min,Bordeaux-Merignac Airport,Albi-Le Sequestre Airport,LFBD,LFCI,44.61129,-0.283835,44.061769,2.379838,0.0,output/F-ZBFS/2022-07-15/leg_1/F-ZBFS_baro_2022-07-15_leg_1.csv
F-ZBFS,3b7b6e,2022-07-14,2022-07-14 19:39:46+00:00,2022-07-14 19:42:15.400000+00:00,2.48,2min,Bordeaux-Merignac Airport,Bordeaux-Merignac Airport,LFBD,LFBD,44.757782,-0.841546,44.812027,-0.739489,0.0,output/F-ZBFS/2022-07-14/leg_1/F-ZBFS_baro_2022-07-14_leg_1.csv
F-ZBFS,3b7b6e,2022-07-13,2022-07-13 17:08:46.500000+00:00,2022-07-13 17:49:32.900000+00:00,40.77,41min,Bordeaux-Merignac Airport,Rodez-Marcillac Airport,LFBD,LFCR,44.685572,-0.228535,44.213722,2.553049,0.0,output/F-ZBFS/2022-07-13/leg_1/F-ZBFS_baro_2022-07-13_leg_1.csv
F-ZBFS,3b7b6e,2022-07-05,2022-07-05 18:24:58.088000+00:00,2022-07-05 18:48:42.588000+00:00,23.73,24min,Marseille Provence Airport,Marseille Provence Airport,LFML,LFML,43.382591,5.489672,43.38844,5.342155,0.0,output/F-ZBFS/2022-07-05/leg_2/F-ZBFS_baro_2022-07-05_leg_2.csv
F-ZBFS,3b7b6e,2022-07-05,2022-07-05 17:47:40.288000+00:00,2022-07-05 17:48:57.588000+00:00,1.28,1min,Marseille Provence Airport,Marseille Provence Airport,LFML,LFML,43.315321,5.33503,43.290096,5.443819,0.0,output/F-ZBFS/2022-07-05/leg_1/F-ZBFS_baro_2022-07-05_leg_1.csv
